CMHC,1.75,2018-Jun-15,101.35,0.77,,2 Year,0.5,2019-Feb-01,99.47,0.76,,Ontario Prov,0,2018-Jun-02,98.49,1.13,,G-W Lifeco,5.691,2067-Jun-21,100.36,4.76,,Alberta,4,2019-Dec-01,107.54,1.3
Canada,1.5,2017-Mar-01,100.12,0.36,,5 Year,0.75,2021-Sep-01,98.31,1.13,,TransAlta Co,0,2019-Nov-18,90.48,3.59,,TD Cap Tr,10,2108-Jun-30,132.14,7.11,,Alberta,2.2,2026-Jun-01,96.9,2.58
Canada,0.25,2017-May-01,99.93,0.53,,10 Year,1.5,2026-Jun-01,97.94,1.74,,Sunlife Fin,0,2023-Jan-30,98.5,1.5,,Cdn Westn Bk,2.751,2020-Jun-29,101.31,2.35,,Ontario Prov,1.9,2017-Sep-08,100.75,0.67
Canada,4,2017-Jun-01,101.23,0.5,,20 Year,5,2037-Jun-01,142.6,2.35,,Ontario Prov,0,2017-Dec-02,99.34,0.78,,Home Trst,2.28,2018-Mar-06,100.26,2.04,,Ontario Prov,4,2021-Jun-02,109.85,1.65
Canada,1.25,2017-Aug-01,100.36,0.56,,30 Year,2.75,2048-Dec-01,108.32,2.38,,Ontario Prov,0,2018-Dec-02,97.5,1.37,,Bell CDA,2.9,2026-Aug-12,97.19,3.24,,Ontario Prov,2.85,2023-Jun-02,104.66,2.06
Canada,1.5,2017-Sep-01,100.55,0.58,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.25,2017-Nov-01,99.72,0.61,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.25,2018-Feb-01,100.64,0.62,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.25,2018-Mar-01,100.67,0.64,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.25,2018-May-01,99.48,0.66,,,,,,,,,,,,,,,,,,,,,,,,
Canada,4.25,2018-Jun-01,104.79,0.69,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.5,2018-Aug-01,99.68,0.71,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.25,2018-Sep-01,100.82,0.73,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.5,2018-Nov-01,99.59,0.74,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.5,2019-Feb-01,99.47,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.75,2019-Mar-01,102.05,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Canada,3.75,2019-Jun-01,106.89,0.79,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.75,2019-Sep-01,102.35,0.83,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.5,2020-Mar-01,101.73,0.93,,,,,,,,,,,,,,,,,,,,,,,,
Canada,3.5,2020-Jun-01,108.34,0.96,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.75,2020-Sep-01,99.08,1.01,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.75,2021-Mar-01,98.69,1.08,,,,,,,,,,,,,,,,,,,,,,,,
Canada,10.5,2021-Mar-15,137.98,1.08,,,,,,,,,,,,,,,,,,,,,,,,
Canada,3.25,2021-Jun-01,109.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Canada,9.75,2021-Jun-01,136.77,1.07,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.75,2021-Sep-01,98.31,1.13,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.5,2022-Mar-01,96.58,1.19,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2.75,2022-Jun-01,107.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,
Canada,9.25,2022-Jun-01,141.36,1.23,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.5,2023-Jun-01,100.57,1.41,,,,,,,,,,,,,,,,,,,,,,,,
Canada,8,2023-Jun-01,140,1.39,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2.5,2024-Jun-01,106.71,1.53,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2.25,2025-Jun-01,104.7,1.64,,,,,,,,,,,,,,,,,,,,,,,,
Canada,9,2025-Jun-01,157.4,1.62,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.5,2026-Jun-01,97.94,1.74,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1,2027-Jun-01,92,1.85,,,,,,,,,,,,,,,,,,,,,,,,
Canada,8,2027-Jun-01,157.89,1.83,,,,,,,,,,,,,,,,,,,,,,,,
Canada,5.75,2029-Jun-01,140.52,2.02,,,,,,,,,,,,,,,,,,,,,,,,
Canada,5.75,2033-Jun-01,147.9,2.24,,,,,,,,,,,,,,,,,,,,,,,,
Canada,5,2037-Jun-01,142.6,2.35,,,,,,,,,,,,,,,,,,,,,,,,
Canada,4,2041-Jun-01,129.25,2.41,,,,,,,,,,,,,,,,,,,,,,,,
Canada,3.5,2045-Dec-01,122.66,2.41,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2.75,2048-Dec-01,108.32,2.38,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2.75,2064-Dec-01,111.3,2.35,,,,,,,,,,,,,,,,,,,,,,,,
Cda House Tr,2.05,2017-Jun-15,100.57,0.59,,,,,,,,,,,,,,,,,,,,,,,,
Cda House Tr,1.7,2017-Dec-15,100.91,0.67,,,,,,,,,,,,,,,,,,,,,,,,
Cda House Tr,2.05,2018-Jun-15,101.76,0.77,,,,,,,,,,,,,,,,,,,,,,,,
Cda House Tr,2.35,2018-Dec-15,102.73,0.89,,,,,,,,,,,,,,,,,,,,,,,,
